ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-09-28,5TDERKEC8RS221141,2024,Sienna Platinum,Available,False,Factory to port,56909,Predawn Gray Mica,Nobel Brown Leather,200,Doral Toyota,https://www.doraltoyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Southeast Toyota Distributor | TOYOGUARD Platinum
2024-10-01,5TDERKEC8RS221477,2024,Sienna Platinum,Available,False,Factory to port,55599,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,116,Keith Pierson Toyota,https://www.keithpiersontoyota.com,False,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Mudguards | Platinum Package | Premium Paint | Southeast Toyota Distributor
2024-10-15,5TDERKEC8RS39E274,2024,Sienna Platinum,Available,False,Factory to port,56118,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | Platinum Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-20,5TDERKEC8RS40D121,2024,Sienna Platinum,Available,False,Factory to port,55948,Predawn Gray Mica,Nobel Brown Leather,5,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Free Lifetime Powertrain Warranty | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-10-22,5TDERKEC8RS40D958,2024,Sienna Platinum,Available,False,Factory to port,56745,Predawn Gray Mica,Nobel Brown Leather,191,Walker-Jones Toyota,https://www.walkerjonestoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Pro Pack - Sienna | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire | Walker Jones Pro Pack
2024-10-12,5TDERKEC9RS39C582,2024,Sienna Platinum,DealerHold,False,Factory to port,55170,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,75,Village Cadillac-Toyota,https://www.villagetoyota.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | Premium Paint | Southeast Toyota Distributor
2024-10-15,5TDERKEC9RS39E381,2024,Sienna Platinum,,False,Factory to port,55444,Celestial Silver Metallic,Nobel Brown Leather,137,AutoNation Toyota Fort Myers,https://www.autonationtoyotafortmyers.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-21,5TDERKEC9RS40D001,2024,Sienna Platinum,Available,False,Factory to port,56396,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,144,Earl Stewart Toyota of North Palm Beach,https://www.earlstewarttoyota.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Premium Paint | SET Digital Portfolio
2024-10-20,5TDERKEC9RS40D175,2024,Sienna Platinum,,False,Factory to port,57165,Midnight Black Metallic,Nobel Brown Leather,188,Toyota of Hollywood,https://www.toyotaofhollywood.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-10-22,5TDERKEC9RS40E049,2024,Sienna Platinum,,False,Factory to port,55444,Celestial Silver Metallic,Nobel Brown Leather,137,AutoNation Toyota Fort Myers,https://www.autonationtoyotafortmyers.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
